,AP1Amplitude,AP2Amplitude,AP12AmplitudeDrop,AP12AmplitudeChangePercent,AP1SSAmplitudeChange,AP1WidthHalfHeight,AP2WidthHalfHeight,AP12HalfWidthChangePercent,AP1WidthPeakToTrough,AP2WidthPeakToTrough,AP1RateOfChangePeakToTrough,AP2RateOfChangePeakToTrough,AP12RateOfChangePeakToTroughPercentChange,AP1AHPDepth,AP2AHPDepth,AP12AHPDepthPercentChange,AP1DelayMean,AP2DelayMean,AP1DelaySD,AP2DelaySD,AP1DelayMeanStrongStim,AP2DelayMeanStrongStim,AP1DelaySDStrongStim,AP2DelaySDStrongStim,Burst1ISIMean,Burst1ISIMeanStrongStim,Burst1ISISD,Burst1ISISDStrongStim,InitialAccommodationMean,SSAccommodationMean,AccommodationRateToSS,AccommodationAtSSMean,AccommodationRateMeanAtSS,ISIMedian,ISICV,ISIBurstMeanChange,SpikeRateStrongStim,InputResistance,SteadyStateAPs,FrequencyPassAbove,FrequencyPassBelow,RampFirstSpike
689,73.1757619996648,73.4614019084318,-0.285639908766967,0.390347706619407,-0.267721334573267,0.66,0.66,0.0,5.00999999999999,5.1400000000001,-19.5644367341203,-19.041869688303,-2.67100480795318,24.8420660382778,24.4138082894476,-1.72392162620589,32.0599999999999,94.8499999999999,0.0,0.0,12.0,45.26,0.0,0.0,63.1950000000001,33.53,0.0,0.0,-16.6666666666667,-16.6666666666667,-0.0145921068375694,-26.9164369631357,1221.34593313625,73.885,13.6020726468229,1.29001433349287,26.5,1108.97281629492,0,29.0,105.63986483576,2147.72
690,70.4544666672036,70.0640666687561,0.390399998447492,-0.554116746481912,1.03402341270522,0.7,0.7,-3.1720657846433e-14,4.49000000000001,4.55999999999995,-20.8351921500802,-20.4111944447013,-2.03500741593731,23.0955460866567,23.0109799990806,-0.366157558079597,15.83,55.9000000000001,0.0,0.0,6.52999999999997,29.4200000000001,0.0,0.0,40.3799999999999,23.4450000000001,0.0,0.0,-20.0,-20.0,-0.0181924028525688,-31.2599552679775,1178.69907201608,49.1600000000001,11.18587913539,1.54729223858192,37.0,688.666047732605,0,29.0,143.0,2070.39
691,74.1573095253042,74.0390400023857,0.118269522918524,-0.159484646457094,0.882174168007055,0.61,0.6,-1.63934426229507,4.1099999999999,4.17000000000007,-24.5184482923998,-24.1538665798362,-1.48696894769092,26.6135129564567,26.682583635533,0.259532363086883,22.8300000000002,72.5799999999999,0.0,0.0,8.72000000000003,36.01,0.0,0.0,50.0699999999999,27.66,0.0,0.0,-25.0,-25.0,-0.021944261575598,-29.5047794342784,1155.34812925589,60.1900000000001,11.9304577112262,1.28643216080468,31.0,684.338500140568,0,29.0,93.1839060281061,2133.11
692,79.733826666172,79.2870690942788,0.446757571893187,-0.560311213663008,2.05113117344976,0.54,0.54,-4.11193712824132e-14,2.75,2.73000000000002,-38.7402580883393,-38.719364329014,-0.053932937869813,26.8018830767612,26.41679552393,-1.43679289894787,11.33,46.0,0.0,0.0,4.65000000000009,24.8599999999999,0.0,0.0,35.095,20.8199999999999,0.0,0.0,-27.2727272727273,-27.2727272727273,-0.0246814245130972,-40.6204363871557,919.445259858108,47.7700000000002,7.6141529905702,2.45168733775605,38.5,723.963583972188,0,29.0,71.2814680574373,2104.51
693,70.1349093340718,69.7920400029711,0.342869331100701,-0.48887114042954,0.567808639441665,0.77,0.76,-1.29870129870127,6.03999999999996,6.08999999999992,-15.0496164961531,-14.893858785198,-1.03496132937903,20.7647743026921,20.9115599988836,0.706897624081148,27.3900000000001,83.1900000000001,0.0,0.0,10.3500000000001,40.0,0.0,0.0,56.0899999999999,30.035,0.0,0.0,-14.2857142857143,-14.2857142857143,-0.0135917210108978,-23.0355156113317,1234.66031872105,64.0599999999999,16.2782396674875,1.03942652329736,30.0,926.165719565468,0,29.0,62.5708156378844,2099.99
694,68.9874400009249,68.4053066696208,0.58213333130405,-0.843825095258275,0.607966395537218,0.73,0.74,1.36986301369863,5.74000000000001,5.8599999999999,-15.8895245589315,-15.5344373957054,-2.23472490891133,22.2184309673418,22.6264964692114,1.83660809563657,27.24,81.98,0.0,0.0,10.0599999999999,38.6700000000003,0.0,0.0,55.01,29.005,0.0,0.0,-14.2857142857143,0.0,0.0,-22.1320825952066,1247.65060026256,62.4499999999999,17.0826199672394,0.986481549141329,31.5,478.485154414111,0,29.0,46.1368060401091,2090.09
695,84.0869733326298,83.4974399978801,0.589533334749703,-0.701099482339121,1.3901360120678,0.47,0.47,-1.18108832406932e-14,2.61000000000001,2.58999999999992,-43.391602962621,-43.5439922768383,0.351195401443316,29.1651103998117,29.2814999991275,0.399071348334743,15.4000000000001,57.97,0.0,0.0,5.92999999999995,30.6400000000003,0.0,0.0,42.9499999999999,25.14,0.0,0.0,-22.2222222222222,-22.2222222222222,-0.0196611595758695,-38.504050179659,999.594995977412,56.74,8.25231065099671,1.7852948085506,32.5,691.769196242541,0,29.0,36.1218141018773,2128.94
696,80.0088599995992,79.2187860048336,0.790073994765535,-0.987483129705252,0.899384201412175,0.55,0.55,0.0,3.28999999999996,3.25,-31.4620731124344,-31.6936452038161,0.736035704176775,23.5013605403088,23.7855609075687,1.20929325250099,15.6100000000001,56.6099999999999,0.0,0.0,6.04999999999984,29.46,0.0,0.0,41.3199999999999,23.9300000000001,0.0,0.0,-11.1111111111111,-22.2222222222222,-0.0195176600667699,-32.2159795474002,1140.2199420821,50.8099999999997,10.7275380018198,1.5609756097569,35.5,909.310337838103,0,29.0,45.034310230802,2103.19
697,76.5183752374001,75.75456000415,0.763815233250142,-0.998211515705066,1.19401894828293,0.57,0.57,-1.94775969232484e-14,4.13,4.19000000000005,-23.5263370582123,-23.099712610142,-1.81339086919765,20.6453968130164,21.0332358323462,1.87857381886325,15.7199999999999,55.49,0.0,0.0,6.11000000000001,28.4400000000001,0.0,0.0,40.07,22.93,0.0,0.0,-10.0,-20.0,-0.0198848666222571,-23.6934825718159,1283.74545686413,45.9100000000001,16.10896687384,1.50867488056272,39.0,607.91471264144,0,29.0,80.2951431812844,2079.41
698,60.4733966666594,60.5258300026105,-0.0524333359510862,0.0867047972186986,-0.0065098269752184,0.86,0.86,1.29095700537809e-14,14.5999999999999,14.6700000000001,-4.91041864775405,-4.87422810878136,-0.737015345712937,11.2187155905494,10.9790963532124,-2.13588833234019,61.3199999999999,147.66,0.0,0.0,21.38,58.71,0.0,0.0,86.385,38.05,0.0,0.0,25.0,25.0,0.169307869429771,-99.6465166009318,10227436.756718,87.9800000000002,65.8200800809352,0.104239054898877,26.5,366.300411108121,0,29.0,143.0,2140.59
