Row,AP1Amplitude,AP2Amplitude,AP12AmplitudeDrop,AP12AmplitudeChangePercent,AP1SSAmplitudeChange,AP1WidthHalfHeight,AP2WidthHalfHeight,AP12HalfWidthChangePercent,AP1WidthPeakToTrough,AP2WidthPeakToTrough,AP1RateOfChangePeakToTrough,AP2RateOfChangePeakToTrough,AP12RateOfChangePeakToTroughPercentChange,AP1AHPDepth,AP2AHPDepth,AP12AHPDepthPercentChange,AP1DelayMean,AP2DelayMean,AP1DelaySD,AP2DelaySD,AP1DelayMeanStrongStim,AP2DelayMeanStrongStim,AP1DelaySDStrongStim,AP2DelaySDStrongStim,Burst1ISIMean,Burst1ISIMeanStrongStim,Burst1ISISD,Burst1ISISDStrongStim,InitialAccommodationMean,SSAccommodationMean,AccommodationRateToSS,AccommodationAtSSMean,AccommodationRateMeanAtSS,ISIMedian,ISICV,ISIBurstMeanChange,SpikeRateStrongStim,InputResistance,PCA1_Cluster,Cluster
1135,62.95891333,55.617228,2.85311316,3.594920803,4.431656369,-0.400477567,-0.287682072,12.12121212,1.526056303,1.252762968,3.045907897,3.09706688,4.749366545,9.1459,-2.784884445,2.302585093,2.895911938,3.423610976,0,0,1.371180723,2.541601993,0,0,7.602428794,2.128826767,0,0,-100,-100,-1,-100,2000,2.451866796,0,5.289868312,0.916290732,4.267466782,0,A
1136,39.45298,35.74858769,2.617716388,3.530502746,3.055314131,-1.108662625,-1.021651248,9.375,0.837247525,0.862889955,3.752317752,3.62140151,4.579178225,15.068892,14.1056212,4.89826578,1.663926098,2.716018371,0,0,1.690095815,7.602795666,0,0,2.099244169,7.602196622,0,0,0,0,0,-9.909045592,31.10938314,2.204972264,4.443412375,5.271272229,0.405465108,5.510139942,0,A
1137,54.00809895,53.15398457,2.384544214,3.27083044,3.120152052,-0.653926467,-0.634878272,1.960784314,1.435084525,1.508511994,3.177554652,3.089541793,4.617181866,19.55357371,20.64989143,4.983992013,3.569814347,4.437579594,0,0,2.609334228,3.345684672,0,0,4.730083298,3.096934154,0,0,-66.66666667,-66.66666667,-1,-88.84231551,218.6237414,5.788031707,1.262218042,6.203982499,2.397895273,5.604268547,0,A
1138,44.12982764,44.86476,2.22625116,3.139241768,3.000853634,-0.94160854,-0.891598119,5.263157895,1.226712291,1.229640551,3.328156321,3.342422069,4.713937032,20.66755273,21.17113091,4.962047836,3.347444926,3.926517452,0,0,2.232162629,2.95647156,0,0,3.096482177,2.437115986,0,0,5.263157895,10.52631579,0.164550817,-9.596768971,0.166770585,3.140265424,4.148937149,5.367045408,4.727387819,5.800459816,0,A
1139,0,0,2.302585093,3.208895882,3.049824557,-4.605170186,-4.605170186,0,0,0,0,0,4.700480366,0,0,4.944848276,7.602196622,7.604510941,0,0,7.601712132,7.602795666,0,0,7.602428794,7.602196622,0,0,0,0,0,0,2000,7.602735778,0,5.289868312,0,6.245119111,2,C
1140,69.41951543,66.68996667,2.543925965,3.356329157,3.209177304,-0.072570693,-0.061875404,1.086956522,2.435366204,2.454447442,2.213720536,2.189719358,4.675977686,15.50030555,17.71402381,5.041690138,3.514526067,4.408911963,0,0,2.46894663,3.26499576,0,0,3.893553489,2.766004594,0,0,12.5,0,0,-4.80231661,1.032846527,3.90459549,4.162650821,5.336721785,4.234106505,5.100689088,0,A
1141,67.14647733,66.74408,2.342036292,3.232819169,3.131736424,-0.820980552,-0.820980552,1.29E-14,1.376244025,1.460937904,3.354497718,3.248952647,4.60137179,14.64193282,15.22258353,4.972692549,3.238678452,3.96081317,0,0,2.200552367,2.915606229,0,0,3.352882105,2.35375338,0,0,-38.46153846,-38.46153846,-0.041374733,-57.2856673,575.8472136,3.970197569,1.751726164,5.423501884,3.828641396,5.179488712,0,A
1142,0,0,2.302585093,3.208895882,3.049824557,-4.605170186,-4.605170186,0,0,0,0,0,4.700480366,0,0,4.944848276,7.602196622,7.604510941,0,0,7.601712132,7.602795666,0,0,7.602428794,7.602196622,0,0,0,0,0,0,2000,7.602735778,0,5.289868312,0,6.245119111,2,C
1143,40.80158432,37.577828,2.582014933,3.48593058,3.179135873,-0.174353387,-0.127833372,4.819277108,1.663926098,1.759580571,2.556860657,2.381299513,4.527695161,10.11017568,9.651336443,4.912001358,4.744236234,4.939425682,0,0,3.636532974,3.971611797,0,0,3.148238745,2.771025,0,0,-42.85714286,-28.57142857,-0.078021378,-92.31940366,128.0600708,4.566533302,1.368921666,5.295364029,3.068052935,6.33029908,0,A
1144,66.88344,0,4.342290509,4.826325701,4.477280906,-0.478035801,-4.605170186,-100,3.438814245,0,1.618985019,0,2.302585093,55.16267842,0,3.700055262,2.719319793,7.604510941,0,0,1.597365331,7.602795666,0,0,7.602428794,7.602196622,0,0,-100,-100,-1,-100,2000,7.602735778,0,5.289868312,0.405465108,5.078768273,1,B
1145,47.09451333,47.80032546,2.229389246,3.146435368,3.030107698,-1.049822124,-1.021651248,2.941176471,1.101940079,1.118414916,3.570425484,3.562938873,4.693478958,22.31422,22.78905455,4.959885611,3.103689415,3.764682418,0,0,1.991975516,2.796671393,0,0,3.100992784,2.282382386,0,0,5.882352941,5.882352941,0.101384918,-26.57670062,2.985072972,3.236322738,3.062168517,5.457391187,4.629862799,6.190679469,0,A
1146,67.60171,66.00795111,2.450466927,3.299877365,3.127183152,-0.342490309,-0.342490309,1.59E-14,3.057297629,3.890799369,1.593402242,0.992696195,3.976386415,11.8660361,15.435141,5.138898712,4.588125751,5.127291769,0,0,3.394508394,4.185251121,0,0,4.831508628,3.452365668,0,0,-33.33333333,0,0,-63.6131408,38.59302847,5.206969327,1.813142705,5.916912066,3.931825633,5.978988777,0,A
