,Model_ID,Name
78,NMLCL000157,Layer 5 Burst Accommodating Martinotti Cell (1)
79,NMLCL000158,Layer 5 Burst Accommodating Martinotti Cell (2)
80,NMLCL000159,Layer 5 Burst Accommodating Martinotti Cell (3)
81,NMLCL000160,Layer 5 Burst Accommodating Martinotti Cell (4)
82,NMLCL000161,Layer 5 Burst Accommodating Martinotti Cell (5)
83,NMLCL000162,Layer 5 Burst Accommodating Nest Basket Cell (1)
84,NMLCL000163,Layer 5 Burst Accommodating Nest Basket Cell (2)
85,NMLCL000164,Layer 5 Burst Accommodating Nest Basket Cell (3)
86,NMLCL000165,Layer 5 Burst Accommodating Nest Basket Cell (4)
87,NMLCL000166,Layer 5 Burst Accommodating Nest Basket Cell (5)
88,NMLCL000167,Layer 6 Burst Accommodating Bipolar Cell (1)
89,NMLCL000168,Layer 6 Burst Accommodating Bipolar Cell (2)
90,NMLCL000169,Layer 6 Burst Accommodating Bipolar Cell (3)
91,NMLCL000170,Layer 6 Burst Accommodating Bipolar Cell (4)
92,NMLCL000171,Layer 6 Burst Accommodating Bipolar Cell (5)
93,NMLCL000172,Layer 6 Burst Accommodating Bitufted Cell (1)
94,NMLCL000173,Layer 6 Burst Accommodating Bitufted Cell (2)
95,NMLCL000174,Layer 6 Burst Accommodating Bitufted Cell (3)
96,NMLCL000175,Layer 6 Burst Accommodating Bitufted Cell (4)
97,NMLCL000176,Layer 6 Burst Accommodating Bitufted Cell (5)
98,NMLCL000177,Layer 6 Burst Accommodating Double Bouquet Cell (1)
99,NMLCL000178,Layer 6 Burst Accommodating Double Bouquet Cell (2)
100,NMLCL000179,Layer 6 Burst Accommodating Double Bouquet Cell (3)
101,NMLCL000180,Layer 6 Burst Accommodating Double Bouquet Cell (4)
102,NMLCL000181,Layer 6 Burst Accommodating Double Bouquet Cell (5)
103,NMLCL000182,Layer 6 Burst Accommodating Large Basket Cell (1)
104,NMLCL000183,Layer 6 Burst Accommodating Large Basket Cell (2)
105,NMLCL000184,Layer 6 Burst Accommodating Large Basket Cell (3)
106,NMLCL000185,Layer 6 Burst Accommodating Large Basket Cell (4)
107,NMLCL000186,Layer 6 Burst Accommodating Large Basket Cell (5)
108,NMLCL000187,Layer 6 Burst Accommodating Martinotti Cell (1)
109,NMLCL000188,Layer 6 Burst Accommodating Martinotti Cell (2)
110,NMLCL000189,Layer 6 Burst Accommodating Martinotti Cell (3)
111,NMLCL000190,Layer 6 Burst Accommodating Martinotti Cell (4)
112,NMLCL000191,Layer 6 Burst Accommodating Martinotti Cell (5)
113,NMLCL000192,Layer 6 Burst Accommodating Nest Basket Cell (1)
114,NMLCL000193,Layer 6 Burst Accommodating Nest Basket Cell (2)
115,NMLCL000194,Layer 6 Burst Accommodating Nest Basket Cell (3)
116,NMLCL000195,Layer 6 Burst Accommodating Nest Basket Cell (4)
117,NMLCL000196,Layer 6 Burst Accommodating Nest Basket Cell (5)
118,NMLCL000197,Layer 2/3 Burst Irregular Bipolar Cell (1)
119,NMLCL000198,Layer 2/3 Burst Irregular Bipolar Cell (2)
120,NMLCL000199,Layer 2/3 Burst Irregular Bipolar Cell (3)
121,NMLCL000200,Layer 2/3 Burst Irregular Bipolar Cell (4)
122,NMLCL000201,Layer 2/3 Burst Irregular Bipolar Cell (5)
123,NMLCL000202,Layer 2/3 Burst Irregular Bitufted Cell (1)
124,NMLCL000203,Layer 2/3 Burst Irregular Bitufted Cell (2)
125,NMLCL000204,Layer 2/3 Burst Irregular Bitufted Cell (3)
126,NMLCL000205,Layer 2/3 Burst Irregular Bitufted Cell (4)
127,NMLCL000206,Layer 2/3 Burst Irregular Bitufted Cell (5)
128,NMLCL000207,Layer 2/3 Burst Irregular Double Bouquet Cell (1)
129,NMLCL000208,Layer 2/3 Burst Irregular Double Bouquet Cell (2)
130,NMLCL000209,Layer 2/3 Burst Irregular Double Bouquet Cell (3)
131,NMLCL000210,Layer 2/3 Burst Irregular Double Bouquet Cell (4)
132,NMLCL000211,Layer 2/3 Burst Irregular Double Bouquet Cell (5)
133,NMLCL000212,Layer 4 Burst Irregular Bipolar Cell (1)
134,NMLCL000213,Layer 4 Burst Irregular Bipolar Cell (2)
135,NMLCL000214,Layer 4 Burst Irregular Bipolar Cell (3)
136,NMLCL000215,Layer 4 Burst Irregular Bipolar Cell (4)
137,NMLCL000216,Layer 4 Burst Irregular Bipolar Cell (5)
138,NMLCL000217,Layer 4 Burst Irregular Bitufted Cell (1)
139,NMLCL000218,Layer 4 Burst Irregular Bitufted Cell (2)
140,NMLCL000219,Layer 4 Burst Irregular Bitufted Cell (3)
141,NMLCL000220,Layer 4 Burst Irregular Bitufted Cell (4)
142,NMLCL000221,Layer 4 Burst Irregular Bitufted Cell (5)
143,NMLCL000222,Layer 4 Burst Irregular Double Bouquet Cell (1)
144,NMLCL000223,Layer 4 Burst Irregular Double Bouquet Cell (2)
145,NMLCL000224,Layer 4 Burst Irregular Double Bouquet Cell (3)
146,NMLCL000225,Layer 4 Burst Irregular Double Bouquet Cell (4)
147,NMLCL000226,Layer 4 Burst Irregular Double Bouquet Cell (5)
148,NMLCL000227,Layer 5 Burst Irregular Bipolar Cell (1)
149,NMLCL000228,Layer 5 Burst Irregular Bipolar Cell (2)
150,NMLCL000229,Layer 5 Burst Irregular Bipolar Cell (3)
151,NMLCL000230,Layer 5 Burst Irregular Bipolar Cell (4)
152,NMLCL000231,Layer 5 Burst Irregular Bipolar Cell (5)
153,NMLCL000232,Layer 5 Burst Irregular Double Bouquet Cell (1)
154,NMLCL000233,Layer 5 Burst Irregular Double Bouquet Cell (2)
155,NMLCL000234,Layer 5 Burst Irregular Double Bouquet Cell (3)
156,NMLCL000235,Layer 5 Burst Irregular Double Bouquet Cell (4)
157,NMLCL000236,Layer 5 Burst Irregular Double Bouquet Cell (5)
158,NMLCL000237,Layer 5 Burst Irregular Martinotti Cell (1)
159,NMLCL000238,Layer 5 Burst Irregular Martinotti Cell (2)
160,NMLCL000239,Layer 5 Burst Irregular Martinotti Cell (3)
161,NMLCL000240,Layer 5 Burst Irregular Martinotti Cell (4)
162,NMLCL000241,Layer 5 Burst Irregular Martinotti Cell (5)
163,NMLCL000242,Layer 5 Burst Irregular Nest Basket Cell (1)
164,NMLCL000243,Layer 5 Burst Irregular Nest Basket Cell (2)
165,NMLCL000244,Layer 5 Burst Irregular Nest Basket Cell (3)
166,NMLCL000245,Layer 5 Burst Irregular Nest Basket Cell (4)
167,NMLCL000246,Layer 5 Burst Irregular Nest Basket Cell (5)
168,NMLCL000247,Layer 6 Burst Irregular Bipolar Cell (1)
169,NMLCL000248,Layer 6 Burst Irregular Bipolar Cell (2)
170,NMLCL000249,Layer 6 Burst Irregular Bipolar Cell (3)
171,NMLCL000250,Layer 6 Burst Irregular Bipolar Cell (4)
172,NMLCL000251,Layer 6 Burst Irregular Bipolar Cell (5)
173,NMLCL000252,Layer 6 Burst Irregular Double Bouquet Cell (1)
174,NMLCL000253,Layer 6 Burst Irregular Double Bouquet Cell (2)
175,NMLCL000254,Layer 6 Burst Irregular Double Bouquet Cell (3)
176,NMLCL000255,Layer 6 Burst Irregular Double Bouquet Cell (4)
177,NMLCL000256,Layer 6 Burst Irregular Double Bouquet Cell (5)
178,NMLCL000257,Layer 6 Burst Irregular Large Basket Cell (1)
179,NMLCL000258,Layer 6 Burst Irregular Large Basket Cell (2)
180,NMLCL000259,Layer 6 Burst Irregular Large Basket Cell (3)
181,NMLCL000260,Layer 6 Burst Irregular Large Basket Cell (4)
182,NMLCL000261,Layer 6 Burst Irregular Large Basket Cell (5)
183,NMLCL000262,Layer 6 Burst Irregular Martinotti Cell (1)
184,NMLCL000263,Layer 6 Burst Irregular Martinotti Cell (2)
185,NMLCL000264,Layer 6 Burst Irregular Martinotti Cell (3)
186,NMLCL000265,Layer 6 Burst Irregular Martinotti Cell (4)
187,NMLCL000266,Layer 6 Burst Irregular Martinotti Cell (5)
188,NMLCL000267,Layer 6 Burst Irregular Nest Basket Cell (1)
189,NMLCL000268,Layer 6 Burst Irregular Nest Basket Cell (2)
190,NMLCL000269,Layer 6 Burst Irregular Nest Basket Cell (3)
191,NMLCL000270,Layer 6 Burst Irregular Nest Basket Cell (4)
192,NMLCL000271,Layer 6 Burst Irregular Nest Basket Cell (5)
193,NMLCL000272,Layer 1 Burst Non-accommodating Descending Axon Cell (1)
194,NMLCL000273,Layer 1 Burst Non-accommodating Descending Axon Cell (2)
195,NMLCL000274,Layer 1 Burst Non-accommodating Descending Axon Cell (3)
196,NMLCL000275,Layer 1 Burst Non-accommodating Descending Axon Cell (4)
197,NMLCL000276,Layer 1 Burst Non-accommodating Descending Axon Cell (5)
198,NMLCL000277,Layer 1 Burst Non-accommodating Horizontal Axon Cell (1)
199,NMLCL000278,Layer 1 Burst Non-accommodating Horizontal Axon Cell (2)
200,NMLCL000279,Layer 1 Burst Non-accommodating Horizontal Axon Cell (3)
201,NMLCL000280,Layer 1 Burst Non-accommodating Horizontal Axon Cell (4)
202,NMLCL000281,Layer 1 Burst Non-accommodating Horizontal Axon Cell (5)
203,NMLCL000282,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (1)
204,NMLCL000283,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (2)
205,NMLCL000284,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (3)
206,NMLCL000285,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (4)
207,NMLCL000286,Layer 1 Burst Non-accommodating Neurogliaform Cell with dense axonal arborization (5)
208,NMLCL000287,Layer 1 Burst Non-accommodating Small Axon Cell (1)
209,NMLCL000288,Layer 1 Burst Non-accommodating Small Axon Cell (2)
210,NMLCL000289,Layer 1 Burst Non-accommodating Small Axon Cell (3)
211,NMLCL000290,Layer 1 Burst Non-accommodating Small Axon Cell (4)
212,NMLCL000291,Layer 1 Burst Non-accommodating Small Axon Cell (5)
213,NMLCL000292,Layer 2/3 Burst Non-accommodating Bipolar Cell (1)
214,NMLCL000293,Layer 2/3 Burst Non-accommodating Bipolar Cell (2)
215,NMLCL000294,Layer 2/3 Burst Non-accommodating Bipolar Cell (3)
216,NMLCL000295,Layer 2/3 Burst Non-accommodating Bipolar Cell (4)
217,NMLCL000296,Layer 2/3 Burst Non-accommodating Bipolar Cell (5)
218,NMLCL000297,Layer 2/3 Burst Non-accommodating Bitufted Cell (1)
219,NMLCL000298,Layer 2/3 Burst Non-accommodating Bitufted Cell (2)
220,NMLCL000299,Layer 2/3 Burst Non-accommodating Bitufted Cell (3)
221,NMLCL000300,Layer 2/3 Burst Non-accommodating Bitufted Cell (4)
